SITENO,EAST,NORTH,Comment,distance,No Data (sea or off map),Broadleaved woodland,Coniferous Woodland,Arable and Horticulture,Improved Grassland,Rough Grassland,Neutral Grassland,Calcareous Grassland,Acid Grassland ,"Fen, Marsh and Swamp",Heather,Heather grassland,Bog,Montane Habitats,Inland Rock,Salt water,Freshwater,Supra-littoral Rock,Supra-littoral Sediment,Littoral Rock,Littoral sediment,Saltmarsh,Urban,Suburban,TOTAL COUNT
89,485000,116000, ,1000,0,2668,1998,268,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
90,203000,679000, ,1000,0,124,809,0,107,71,0,0,1039,0,642,2232,0,0,0,0,0,0,0,0,0,0,0,0,5024
91,521000,113000, ,1000,0,322,0,2389,1576,15,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,44,147,475,5024
92,150060,489996,Off GB LCM2007,1000,5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
93,405000,118000, ,1000,0,527,0,1681,2315,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
94,287000,184000, ,1000,0,848,102,182,2417,777,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,54,286,5024
95,375500,276600, ,1000,0,3926,843,53,74,49,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,4,5024
108,555000,131000, ,1000,0,1406,1339,518,1668,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5024
109,538000,195000, ,1000,0,977,0,26,820,0,125,0,0,0,0,0,0,0,0,0,626,0,0,0,0,0,408,2042,5024
110,340000,120000, ,1000,0,27,0,1825,2969,126,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5024
111,611000,217000, ,1000,0,254,0,1282,1522,590,0,0,0,0,0,0,0,0,6,620,182,0,0,0,225,285,20,38,5024
112,239000,72000, ,1000,0,601,239,1636,1982,471,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
113,619100,231300, ,1000,0,1164,0,1660,1050,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,813,0,13,88,5024
114,462000,210000, ,1000,0,1012,419,1996,1103,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,5024
115,461000,211000, ,1000,0,1493,740,910,1418,303,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
116,172000,682000, ,1000,2639,168,76,0,257,279,0,0,0,0,0,235,0,0,0,0,36,0,441,235,507,142,0,9,5024
117,460000,214000, ,1000,0,979,193,2666,809,0,350,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12,1,5024
118,600000,134000, ,1000,0,1412,60,1654,1220,15,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,434,5024
119,621800,138100, ,1000,0,200,0,1626,447,1115,0,146,27,0,0,0,0,0,0,0,28,0,0,0,0,0,437,998,5024
120,301000,255000, ,1000,0,286,186,1140,2184,995,0,0,0,0,17,14,0,0,0,0,152,0,0,0,0,0,0,50,5024
121,402000,186000, ,1000,0,736,188,973,2606,183,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,5024
99,522000,363000, ,1000,0,1186,1165,1178,975,76,0,0,0,0,51,377,0,0,0,0,0,0,0,0,0,0,0,16,5024
100,267000,295000, ,1000,1,618,99,620,2199,359,0,0,0,237,117,279,19,0,0,0,43,0,0,0,5,392,32,4,5024
101,423000,626000, ,1000,209,0,0,1253,2467,410,0,0,0,0,0,0,0,0,0,4,0,0,144,0,529,0,0,8,5024
102,387000,154000, ,1000,0,775,267,1566,1975,31,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,181,5024
103,208000,913000, ,1000,0,259,26,0,73,263,0,0,0,0,1161,3031,93,0,0,0,91,0,0,0,0,1,0,26,5024
104,507000,304000, ,1000,0,955,0,3303,586,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5024
106,610000,160000, ,1000,0,4453,233,8,224,9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5024
107,388000,211000, ,1000,0,774,31,1919,1682,591,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5024
1216,518500,247500, ,1000,0,520,95,2974,536,34,10,0,0,0,0,6,0,0,231,0,266,0,0,0,0,0,41,311,5024
1217,525500,250500, ,1000,0,1760,11,2893,236,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5024
1218,511500,241500, ,1000,0,278,682,3394,333,297,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,24,5024
1221,501200,218200, ,1000,0,870,29,1713,1450,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,215,5024
1222,497900,222000, ,1000,0,201,0,2729,1165,668,0,28,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,188,5024
1301,470000,221000, ,1000,0,1373,0,1153,1729,244,518,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5024
1307,472100,221600, ,1000,0,568,106,1955,2124,194,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5024
1308,493700,214100, ,1000,0,329,0,1884,1035,865,0,0,19,0,0,0,0,0,315,0,384,0,0,0,0,0,65,128,5024
1311,450800,165000, ,1000,0,1774,60,1548,307,647,57,0,0,0,0,43,0,0,488,0,0,0,0,0,0,0,76,24,5024
